@relation 'bigTable-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R33,35-38'

@attribute RF_10 numeric
@attribute RF_5 numeric
@attribute RF_3 numeric
@attribute RF_1 numeric
@attribute J4_10 numeric
@attribute J4_5 numeric
@attribute J4_3 numeric
@attribute J4_1 numeric
@attribute OR_10 numeric
@attribute OR_5 numeric
@attribute OR_3 numeric
@attribute OR_1 numeric
@attribute CS_10 numeric
@attribute CS_5 numeric
@attribute CS_3 numeric
@attribute CS_1 numeric
@attribute IG_10 numeric
@attribute IG_5 numeric
@attribute IG_3 numeric
@attribute IG_1 numeric
@attribute P_10 numeric
@attribute P_5 numeric
@attribute P_3 numeric
@attribute P_1 numeric
@attribute PCA_10 numeric
@attribute PCA_5 numeric
@attribute PCA_3 numeric
@attribute PCA_1 numeric
@attribute R_10 numeric
@attribute R_5 numeric
@attribute R_3 numeric
@attribute R_1 numeric
@attribute Recall numeric

@data
0.225,0.225,0.262,0.271,0.049,0.049,0.055,0.059,98.9,98.9,99.7,100,10086.1,10086.1,11208.6,11672,0.288,0.288,0.314,0.325,0.013,0.013,0.035,0.04,0.286,0.286,0.447,0.683,0.153,0.153,0.182,0.235,0.681743
0.215,0.215,0.272,0.463,0.009,0.009,0.011,0.013,99.6,99.6,99.9,100,8776.9,8776.9,10075.7,11129,0.09,0.09,0.097,0.104,0.124,0.124,0.13,0.135,0.3,0.3,0.469,0.708,0.242,0.242,0.3,0.395,1
0.071,0.071,0.118,0.122,0.012,0.012,0.016,0.016,99.7,99.7,100,100,9425.6,9425.6,11152,11152,0.106,0.106,0.116,0.116,-0.229,-0.229,-0.201,-0.18,0.292,0.292,0.457,0.698,0.387,0.387,0.508,0.711,1
0.292,0.292,0.331,0.36,0.029,0.029,0.031,0.033,99.6,99.6,99.8,100,10327.4,10327.4,10937.2,11347,0.191,0.191,0.2,0.207,0.101,0.101,0.107,0.113,0.3,0.3,0.47,0.709,0.202,0.202,0.264,0.411,1
0.196,0.196,0.204,0.212,0,0,0,0,96.1,96.1,96.1,96.1,21.9,21.9,36.4,89.6,0.001,0.001,0.002,0.005,0.012,0.012,0.019,0.023,0.302,0.302,0.473,0.71,0.029,0.029,0.044,0.05,0.309211
0.214,0.231,0.244,0.266,0.017,0.025,0.029,0.031,92.5,93.2,93.7,94.1,394.1,512.4,588.7,694,0.107,0.134,0.154,0.174,0.031,0.088,0.132,0.198,0.216,0.346,0.442,0.594,0.042,0.052,0.062,0.084,0.635135
0.203,0.214,0.22,0.224,0.018,0.025,0.031,0.034,93.9,94.5,94.8,95.1,452.1,569.6,668.8,677.9,0.107,0.132,0.15,0.153,-0.006,0.034,0.071,0.12,0.212,0.341,0.437,0.59,0.041,0.051,0.062,0.091,0.608108
0.215,0.222,0.226,0.228,0.009,0.017,0.023,0.024,92.5,93,93.4,93.9,268.9,395.4,478.5,593.2,0.077,0.103,0.124,0.144,0.107,0.156,0.185,0.227,0.227,0.355,0.439,0.56,0.045,0.054,0.062,0.085,0.675676
0.204,0.217,0.226,0.243,0.009,0.009,0.01,0.01,94.4,94.5,94.7,94.9,327.4,391.5,423.5,464.5,0.072,0.087,0.09,0.093,-0.013,0.052,0.103,0.167,0.216,0.346,0.442,0.593,0.042,0.051,0.062,0.085,0.628378
0.438,0.547,0.599,0.615,0.021,0.029,0.034,0.04,96.4,97,97.4,97.6,722.7,946,1087.6,1204.3,0.17,0.208,0.227,0.25,0.046,0.116,0.153,0.219,0.217,0.346,0.442,0.596,0.095,0.123,0.141,0.158,0.628378
