data_series,algorithm_type,reputation_score,metric_score(FScore(2.0)),configuration
CollectionTime#PLAIN#JVM§SPS§1.0§0.20222275725521646§pdv=0.999&pos=0.999&pov=0.999&dweight=0&m=20&pds=0.999&n=20&
Activated Virtual Pages#DIFFERENCE#CENTOS§SPS§1.0§0.19964665170726445§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=40&pds=0.9999&n=40&
(Cached Memory#PLAIN#CENTOS)-(Inactive Memory#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.19954820275604565§pdv=0.999&pos=0.999&pov=0.999&dweight=0&m=40&pds=0.999&n=40&
(CPU User Processes#PLAIN#CENTOS)-(CPU Kernel Processes#PLAIN#CENTOS)#DIFFERENCE#COMPOSITION§HIST§1.0§0.1982162501964482§interval_width=0.5&
(CPU User Processes#PLAIN#CENTOS)/(CPU Kernel Processes#PLAIN#CENTOS)#PLAIN#COMPOSITION§HIST§1.0§0.19801980198019803§interval_width=0.5&
(ProcessCpuTime#PLAIN#JVM)/(CPU Soft Interrupts#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.1960145522088017§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=40&pds=0.9999&n=40&
(ProcessCpuTime#PLAIN#JVM)/(CollectionCount#PLAIN#JVM)#PLAIN#COMPOSITION§SPS§1.0§0.19597041001493248§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=40&pds=0.9999&n=40&
(TotalStartedThreadCount#PLAIN#JVM)/(Minor Page Faults#PLAIN#CENTOS)#PLAIN#COMPOSITION§HIST§1.0§0.19526952695269537§interval_width=0.5&
(TotalStartedThreadCount#PLAIN#JVM)/(CPU User Processes#PLAIN#CENTOS)#PLAIN#COMPOSITION§HIST§1.0§0.19526952695269537§interval_width=0.5&
(TotalStartedThreadCount#PLAIN#JVM)/(Free Virtual Pages#PLAIN#CENTOS)#PLAIN#COMPOSITION§HIST§1.0§0.19526952695269537§interval_width=0.5&
(TotalStartedThreadCount#PLAIN#JVM)/(CPU Kernel Processes#PLAIN#CENTOS)#PLAIN#COMPOSITION§HIST§1.0§0.19526952695269537§interval_width=2.5&
(ProcessCpuTime#PLAIN#JVM)/(TotalStartedThreadCount#PLAIN#JVM)#PLAIN#COMPOSITION§HIST§1.0§0.19526952695269537§interval_width=0.5&
(TotalStartedThreadCount#PLAIN#JVM)/(Free Virtual Pages#PLAIN#CENTOS)#DIFFERENCE#COMPOSITION§HIST§1.0§0.19526952695269537§interval_width=0.5&
(ProcessCpuTime#PLAIN#JVM)/(TotalStartedThreadCount#PLAIN#JVM)#DIFFERENCE#COMPOSITION§HIST§1.0§0.19526952695269537§interval_width=0.5&
(TotalStartedThreadCount#PLAIN#JVM)/(Minor Page Faults#PLAIN#CENTOS)#DIFFERENCE#COMPOSITION§HIST§1.0§0.19526952695269537§interval_width=0.5&
(TotalStartedThreadCount#PLAIN#JVM)/(CPU User Processes#PLAIN#CENTOS)#DIFFERENCE#COMPOSITION§HIST§1.0§0.19526952695269537§interval_width=0.5&
CPU Kernel Processes#DIFFERENCE#CENTOS§HIST§1.0§0.1916155901304416§interval_width=2.0&
(ProcessCpuTime#PLAIN#JVM)/(CPU Idle Processes#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.18899108317425148§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(ProcessCpuTime#PLAIN#JVM)-(CurrentThreadCpuTime#PLAIN#JVM)#PLAIN#COMPOSITION§SPS§1.0§0.1872108799402694§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=20&pds=0.9999&n=20&
(Inactive Memory#DIFFERENCE#CENTOS)-(Cached Memory#DIFFERENCE#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.18429422489249922§pdv=0.99&pos=0.99&pov=0.99&dweight=0&m=40&pds=0.99&n=40&
(Inactive Memory#DIFFERENCE#CENTOS)-(Cached Memory#DIFFERENCE#CENTOS)#DIFFERENCE#COMPOSITION§SPS§1.0§0.18429422489249922§pdv=0.99&pos=0.99&pov=0.99&dweight=0&m=40&pds=0.99&n=40&
(Cached Memory#PLAIN#CENTOS)-(Inactive Memory#PLAIN#CENTOS)#DIFFERENCE#COMPOSITION§SPS§1.0§0.18429422489249922§pdv=0.99&pos=0.99&pov=0.99&dweight=0&m=40&pds=0.99&n=40&
(TotalStartedThreadCount#PLAIN#JVM)-(CollectionCount#PLAIN#JVM)#DIFFERENCE#COMPOSITION§SPS§1.0§0.1827597314267344§pdv=0.999&pos=0.999&pov=0.999&dweight=0&m=40&pds=0.999&n=40&
(ProcessCpuTime#PLAIN#JVM)/(Free Virtual Pages#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.18252415900930755§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=40&pds=0.9999&n=40&
ProcessCpuTime#PLAIN#JVM§SPS§1.0§0.18183507911230684§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(ProcessCpuTime#PLAIN#JVM)-(TotalStartedThreadCount#PLAIN#JVM)#PLAIN#COMPOSITION§SPS§1.0§0.18183507911230684§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(ProcessCpuTime#PLAIN#JVM)-(Free Virtual Pages#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.18183507911230684§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(ProcessCpuTime#PLAIN#JVM)-(Minor Page Faults#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.18183507911230684§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(ProcessCpuTime#PLAIN#JVM)-(CollectionCount#PLAIN#JVM)#PLAIN#COMPOSITION§SPS§1.0§0.18183507911230684§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(ProcessCpuTime#PLAIN#JVM)-(CPU User Processes#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.18183507911230684§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(ProcessCpuTime#PLAIN#JVM)-(CPU Kernel Processes#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.18183507911230684§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(ProcessCpuTime#PLAIN#JVM)-(CPU Soft Interrupts#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.18183507911230684§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(ProcessCpuTime#PLAIN#JVM)-(CollectionTime#PLAIN#JVM)#PLAIN#COMPOSITION§SPS§1.0§0.18183507911230684§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(ProcessCpuTime#PLAIN#JVM)-(CPU Idle Processes#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.18183507911230684§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(TotalStartedThreadCount#PLAIN#JVM)/(CPU Soft Interrupts#PLAIN#CENTOS)#PLAIN#COMPOSITION§HIST§1.0§0.18011801180118014§interval_width=2.5&
(TotalStartedThreadCount#PLAIN#JVM)/(CPU Soft Interrupts#PLAIN#CENTOS)#DIFFERENCE#COMPOSITION§HIST§1.0§0.18011801180118014§interval_width=2.5&
(TotalStartedThreadCount#PLAIN#JVM)/(CollectionTime#PLAIN#JVM)#PLAIN#COMPOSITION§SPS§1.0§0.18001443632017025§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=20&pds=0.9999&n=20&
(CPU User Processes#PLAIN#CENTOS)/(CPU Kernel Processes#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.17996601256261352§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(ProcessCpuTime#PLAIN#JVM)/(CPU Kernel Processes#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.17851785178517854§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=40&pds=0.9999&n=40&
(TotalStartedThreadCount#PLAIN#JVM)/(CPU Kernel Processes#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.17807818359243593§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=20&pds=0.9999&n=20&
(TotalStartedThreadCount#PLAIN#JVM)-(CollectionCount#PLAIN#JVM)#DIFFERENCE#COMPOSITION§HIST§1.0§0.17773260842567773§interval_width=1.0&
(TotalStartedThreadCount#PLAIN#JVM)/(CPU Kernel Processes#PLAIN#CENTOS)#DIFFERENCE#COMPOSITION§HIST§1.0§0.1768676867686769§interval_width=0.5&
(OpenFileDescriptorCount#DIFFERENCE#JVM)/(CollectionCount#DIFFERENCE#JVM)#PLAIN#COMPOSITION§HIST§1.0§0.17676785943997736§interval_width=1.5&
(CPU Kernel Processes#PLAIN#CENTOS)-(CPU Idle Processes#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.17445745867411566§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(TotalStartedThreadCount#PLAIN#JVM)/(CollectionCount#PLAIN#JVM)#PLAIN#COMPOSITION§SPS§1.0§0.17357966104622416§pdv=0.99&pos=0.99&pov=0.99&dweight=0&m=40&pds=0.99&n=40&
(CPU Soft Interrupts#PLAIN#CENTOS)/(CPU Idle Processes#PLAIN#CENTOS)#DIFFERENCE#COMPOSITION§SPS§1.0§0.17299005095986486§pdv=0.99&pos=0.99&pov=0.99&dweight=0&m=40&pds=0.99&n=40&
(ProcessCpuTime#PLAIN#JVM)/(CPU User Processes#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.1722040335901722§pdv=0.999&pos=0.999&pov=0.999&dweight=0&m=40&pds=0.999&n=40&
(ProcessCpuTime#PLAIN#JVM)/(TotalStartedThreadCount#PLAIN#JVM)#PLAIN#COMPOSITION§SPS§1.0§0.17214918405221266§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(CPU Soft Interrupts#PLAIN#CENTOS)/(CollectionTime#PLAIN#JVM)#PLAIN#COMPOSITION§SPS§1.0§0.1701038567436508§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=40&pds=0.9999&n=40&
(TotalStartedThreadCount#PLAIN#JVM)-(CPU Idle Processes#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.16709179806151273§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(CPU Soft Interrupts#PLAIN#CENTOS)-(CPU Idle Processes#PLAIN#CENTOS)#PLAIN#COMPOSITION§SPS§1.0§0.16705293564602955§pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
